com.umas.code|Admin|getAllAdmin|0|Select *   FROM people   WHERE PositionID=1
com.umas.code|Classroom|Classroom|1|Select *   FROM classroom   WHERE classroomID= ?
com.umas.code|Classroom|addNewClassroom|3|Insert into classroom   (ClassroomName, ClassroomLocation, ClassroomCapacity)   Values(?,?,?)
com.umas.code|Classroom|addNewClassroom|3|Select ClassroomName   FROM classroom   WHERE ClassroomName= ? AND ClassroomLocation= ?
com.umas.code|Classroom|getClassID|2|Select ClassroomID   FROM classroom   WHERE classroomName= ? and classroomLocation= ?
com.umas.code|Classroom|findOpenSlotsForClassroom|1|SELECT TimeslotID FROM courseschedule natural join timeslots   where ClassroomID = ? and TimeslotType = ?
com.umas.code|Classroom|findOpenSlotsForClassroom|1|SELECT TimeslotID   From timeslots   where TimeslotType = ?
com.umas.code|Classroom|isEmpty|2|Select *   FROM courseschedule   WHERE classroomID= ? and TimeSlotID= ?
com.umas.code|Course|Course|1|Select CourseID, CourseName, DepartmentID   FROM courses   WHERE CourseID= ?
com.umas.code|Course|Course|1|Select CourseID, CourseName, DepartmentID   FROM courses   WHERE CourseName= ?
com.umas.code|Course|addCourse|2|Insert into courses (CourseName, DepartmentID) Values (?,?);
com.umas.code|Course|updateCourse|2|UPDATE courses   SET CourseName= ?, DepartmentID= ?   WHERE CourseID= ?
com.umas.code|Course|isExists|2|Select CourseID, CourseName, DepartmentID   FROM courses   WHERE CourseName= ? and DepartmentID=?
com.umas.code|Course|removeCourse|1|Select CourseID, CourseName, DepartmentID   FROM courses   WHERE CourseID= ?
com.umas.code|Course|getAllCourses|0|Select *   FROM courses
com.umas.code|Course|getCurrentOfferings|0|Select *   FROM coursesoffered natural join courseschedule   WHERE coursesoffered.CourseID= ?
com.umas.code|Course|getCoursesOfDepartment|1|Select *   FROM courses   WHERE DepartmentID= ?
com.umas.code|CourseCurve|getTotalCourseMarks|0|Select sum(TotalMarks) As TotalMarks2 FROM %s;
com.umas.code|CourseExams|createCourseExamMarksTable|3|CREATE TABLE %s (`StudentUIN` int(12) NOT NULL,`StudentEnrollmentID` int(12) NOT NULL,   PRIMARY KEY (`StudentUIN`), KEY `StudentID_idx` (`StudentUIN`),    KEY `StudentEnrollmentID_idx` (`StudentEnrollmentID`),  CONSTRAINT %s FOREIGN KEY (`StudentEnrollmentID`) REFERENCES `studentenrollment` (`EnrollmentID`) ON DELETE NO ACTION ON UPDATE NO ACTION, CONSTRAINT %s FOREIGN KEY (`StudentUIN`) REFERENCES `student` (`UIN`) ON DELETE CASCADE ON UPDATE CASCADE);
com.umas.code|CourseExams|addNewExamColumn|1|ALTER TABLE %s ADD COLUMN %s DECIMAL(4,1) Null DEFAULT 0 ;
com.umas.code|CourseExams|isExamPresent|2|SELECT ISC.column_name FROM INFORMATION_SCHEMA.COLUMNS ISC WHERE ISC.table_name = ?;
com.umas.code|CourseExams|modifyExistingExamColumnName|2|ALTER TABLE %s CHANGE COLUMN %s %s DECIMAL(4,1) NULL;
com.umas.code|CourseExams|deleteExistingExamColumn|1|ALTER TABLE %s DROP COLUMN %s ;
com.umas.code|CourseExams|addStudentMarks|0|UPDATE %s SET %s = ? WHERE `StudentUIN`=?;
com.umas.code|CourseExams|getStudentMarks|0|SELECT * FROM %s ;
com.umas.code|CourseExams|getStudentMarks|2|SELECT %s FROM %s WHERE StudentUIN = ?;
com.umas.code|CourseExams|getStudents|2|SELECT StudentUIN, %s FROM %s;
com.umas.code|CourseExams|modifyStudentMarks|0|UPDATE %s SET %s = ? WHERE `StudentUIN`=?;
com.umas.code|CourseExams|viewAllExams|0|SELECT ExamName FROM %s ;
com.umas.code|CourseExamStructure|CourseExamStructure|2|Select TotalMarks FROM %s WHERE ExamName = ?;
com.umas.code|CourseExamStructure|createCourseExamStructureTable|3|CREATE TABLE %s (ExamName varchar(20), TotalMarks int(12),PRIMARY KEY (ExamName)) ;
com.umas.code|CourseExamStructure|addNewExam|0|INSERT INTO %s (ExamName,TotalMarks) VALUES(?,?) ;
com.umas.code|CourseExamStructure|isExamPresent|2|Select ExamName FROM %s ;
com.umas.code|CourseExamStructure|modifyExistingExamName|1|UPDATE %s SET ExamName = ? WHERE ExamName = ? ;
com.umas.code|CourseExamStructure|modifyExistingExamTotalMarks|1|UPDATE %s SET TotalMarks = ? WHERE ExamName = ? ;
com.umas.code|CourseExamStructure|deleteExistingExam|0|DELETE FROM %s WHERE ExamName = ?  ;
com.umas.code|CourseExamStructure|viewExams|1|SELECT ExamName,TotalMarks FROM %s ;
com.umas.code|CourseOffered|CourseOffered|1|Select *   FROM coursesoffered   WHERE OfferID= ?
com.umas.code|CourseOffered|getAllCurrentlyOfferedCourses|0|Select *   FROM coursesoffered   WHERE SemesterID= ?
com.umas.code|CourseOffered|getAllOfferedIDAndCourseOffered|0|Select *   FROM coursesoffered   WHERE SemesterID= ?
com.umas.code|CourseOffered|getAllOfferedCourses|0|Select *   FROM coursesoffered
com.umas.code|CourseOffered|addCourseOfferingToDatabase|3|Insert into coursesoffered  (CourseID,SemesterID,TotalCapacity,SeatsFilled,TaughtBy)  Values(?,?,?,?,?);
com.umas.code|CourseOffered|addCourseOfferingToDatabase|3|Select OfferID   FROM coursesoffered   WHERE courseID= ? and TaughtBy= ? and SemesterID= ?
com.umas.code|CourseOffered|updateCourseOffering|1|UPDATE coursesoffered   SET Taughtby= ?   WHERE offerID= ?
com.umas.code|CourseOffered|getStudentCourses|1|Select *   FROM studentenrollment   WHERE UIN= ?
com.umas.code|CourseOffered|getAllStudentsInCourse|1|Select *   FROM studentenrollment   WHERE OfferID=?
com.umas.code|CourseOffered|getCurrentProfessorCourses|1|Select *   FROM coursesoffered   WHERE TaughtBy=? and SemesterID= ?
com.umas.code|CourseOffered|getAllCurrentCoursesTAedBy|1|Select *   FROM coursesoffered as c join teachingassistant as t   WHERE c.SemesterID= ? and t.OfferID = c.OfferID and TaUIN= ?
com.umas.code|CourseOffered|getAllCurrentCoursesTakenBy|1|Select *   FROM studentenrollment   WHERE UIN= ?
com.umas.code|CourseOffered|addOneSeatFilledToCourseOffered|0|UPDATE coursesoffered   SET SeatsFilled= ?   WHERE OfferID= ? ;
com.umas.code|CourseOffered|addOneSeatFilledToCourseOffered|0|Select *   FROM coursesoffered   WHERE OfferID= ?
com.umas.code|CourseOffered|removeOneSeatFromCourseOffered|0|Select * FROM coursesoffered WHERE OfferID= ?;
com.umas.code|CourseOffered|checkIfScheduled|0|Select *   FROM courseschedule   WHERE OfferID= ?
